name,about,link,investor,exit
2nd Address,2nd Address (formerly Homesuite) is simplifying the travel experience through premium long-term stays for business travelers.,https://2ndaddress.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
About.me,About.me is a free service that lets you create a beautiful one-page website thats all about you.,https://about.me,,* Acquired by Broadly- 2019
Airtime,Airtime is a live social video company that uses the latest video technology to bring people together.,https://www.airtime.com,<a href='/team/david-krane'>David Krane</a>,No Exit Yet
AltspaceVR,Altspace VR is a social platform for virtual reality that allows users to watch streaming video- play games- and work collaboratively inside of virtual spaces.,https://altvr.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Microsoft- 2017
Amino,Amino connects like-minded people passionate about similar interests through mobile micro communities.,https://www.aminoapps.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Anchor,Anchor makes it easy to record and publish podcasts from your phone.,https://anchor.fm,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Spotify- 2019
Astrid,Astrid is a mobile- social to-do list that helps individuals and groups stay organized- get more done and have fun in the process.,https://www.astrid.com,,* Acquired by Yahoo!- 2013
Blavity,Blavity is a technology and media company aimed at building beautiful products and experiences for black millennials.,https://blavity.com,<a href='/team/john-lyman'>John Lyman</a>,No Exit Yet
Blockchain,Blockchain is a software platform for digital assets that uses new technology to build a radically better financial system.,https://blockchain.info,<a href='/team/tom-hulme'>Tom Hulme</a>,No Exit Yet
Brandless,Brandless creates thoughtful- irresistible food and household products you reach for every day.,https://brandless.com,<a href='/team/john-lyman'>John Lyman</a>,No Exit Yet
Breather,Creating beautiful- dedicated workspaces in great locations without the big monthly price tag.,https://breather.com,<a href='/team/laura-melahn'>Laura Melahn</a>,No Exit Yet
BufferBox,BufferBox provides a secure- convenient delivery location for online shopping.,https://www.bufferbox.com,<a href='/team/blake-byers'>Blake Byers</a>,* Acquired by Google- 2012
Cambly,Cambly connects English students from around the world with native English speakers to improve their spoken language skills.,https://cambly.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
ClassPass,ClassPass provides members with access to the largest network of fitness studios using a single pass.,https://www.classpass.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Clever,Clever is building educational applications that just work. Their mission is to make powerful educational software easy to build and easy to deploy.,https://www.clever.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Clutter,Clutter is a tech-enabled storage company that lets you store extra stuff without leaving your house.,https://www.clutter.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Confide,Confide is a new way to send confidential messages off the record.,https://getconfide.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Cord,Cord is a voice messaging platform designed for incredibly simple one tap voice chat across a wide variety of devices.,https://cordproject.co,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Spotify- 2016
Cozy,Cozy is the simple way for landlords and renters to manage their rentals online.,https://www.cozy.co,<a href='/team/tyson-clark'>Tyson Clark</a>,* Acquired by CoStar Realty Informtion- 2018
creativeLIVE,creativeLIVE unleashes the creative potential of millions of people by connecting them live with the worlds most inspiring instructors.,https://www.creativelive.com,,No Exit Yet
Dapper Labs,Dapper Labs uses the power of play to deliver blockchain-based experiences that are made for you and ready for the real world.,https://dapperlabs.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Desmos,Desmos is building the next generation web-based graphing calculator. It is beautiful- powerful- and free.,https://www.desmos.com,,No Exit Yet
Digit,Digit automates saving money by learning your spending habits and transferring a small amount to savings every week.,https://digit.co,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Disruptor Beam,Disruptor Beam is a digital game company that transports the fans of beloved literary and television series into the worlds they love.,https://www.disruptorbeam.com,,No Exit Yet
Emergent,Emergent is building the next medium for communication using virtual reality.,https://www.emergentvr.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
English Central,English Central makes improving one's English fun and effective by turning popular web videos into powerful language learning experiences.,https://www.englishcentral.com,,No Exit Yet
Ethos,Ethos is a new kind of life insurance company built for people who don't have time for fine print- extra doctors appointments- or hidden fees.,https://getethos.com,<a href='/team/tyson-clark'>Tyson Clark</a><a href='/team/brian-bendett'>Brian Bendett</a>,No Exit Yet
Firefly,Firefly is creating the next disruptive platform in Out-Of-Home Advertising.,https://fireflyon.com,<a href='/team/adam-ghobarah'>Adam Ghobarah</a>,No Exit Yet
Gametime,Gametime makes finding the perfect live experience remarkably fast and easy- with textable tickets at last-minute prices.,https://www.gametime.co,<a href='/team/john-lyman'>John Lyman</a>,No Exit Yet
Giphy,Giphy is the best way to search- share- and discover GIFs on the Internet.,https://giphy.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Gyft,Gyft is a digital gift card platform that enables users to upload- send- and redeem gift cards.,https://www.gyft.com,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired by First Data- 2014
Happiest Baby,Happiest Baby develops science-based products- content and services to enhance child well-being and to help solve everyday parenting challenges.,https://happiestbaby.com,<a href='/team/laura-melahn'>Laura Melahn</a>,No Exit Yet
HeartThis,HeartThis lets online shoppers browse all their favorite stores in one place.,https://www.heartthis.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Thumbtack- 2015
High Fidelity,High Fidelity is building a new virtual world enabling rich avatar interactions.,https://www.highfidelity.io,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Hipster,Hipster is a fun way to help uncover the vast amount of information about real world locations that isnt yet available online. (Hipster was acquired by AOL in March 2012.),No Link,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by AOL- 2012
